category,diagnosis_code,full_code,partial_description,full_description
D612,,D612,Aplastic anemia due to other external agents,Aplastic anemia due to other external agents
D613,,D613,Idiopathic aplastic anemia,Idiopathic aplastic anemia
D6181,0,D61810,Antineoplastic chemotherapy induced pancytopenia,Antineoplastic chemotherapy induced pancytopenia
D6181,1,D61811,Other drug-induced pancytopenia,Other drug-induced pancytopenia
D6181,8,D61818,Other pancytopenia,Other pancytopenia
D6182,,D6182,Myelophthisis,Myelophthisis
D6189,,D6189,Oth aplastic anemias and other bone marrow failure syndromes,Other specified aplastic anemias and other bone marrow failure syndromes
D619,,D619,"Aplastic anemia, unspecified","Aplastic anemia, unspecified"
D62,,D62,Acute posthemorrhagic anemia,Acute posthemorrhagic anemia
D63,0,D630,Anemia in neoplastic disease,Anemia in neoplastic disease
D63,1,D631,Anemia in chronic kidney disease,Anemia in chronic kidney disease
D63,8,D638,Anemia in other chronic diseases classified elsewhere,Anemia in other chronic diseases classified elsewhere
D64,0,D640,Hereditary sideroblastic anemia,Hereditary sideroblastic anemia
D64,1,D641,Secondary sideroblastic anemia due to disease,Secondary sideroblastic anemia due to disease
D64,2,D642,Secondary sideroblastic anemia due to drugs and toxins,Secondary sideroblastic anemia due to drugs and toxins
D64,3,D643,Other sideroblastic anemias,Other sideroblastic anemias
D64,4,D644,Congenital dyserythropoietic anemia,Congenital dyserythropoietic anemia
D648,1,D6481,Anemia due to antineoplastic chemotherapy,Anemia due to antineoplastic chemotherapy
D648,9,D6489,Other specified anemias,Other specified anemias
D649,,D649,"Anemia, unspecified","Anemia, unspecified"
D65,,D65,Disseminated intravascular coagulation,Disseminated intravascular coagulation [defibrination syndrome]
D66,,D66,Hereditary factor VIII deficiency,Hereditary factor VIII deficiency
D67,,D67,Hereditary factor IX deficiency,Hereditary factor IX deficiency
D68,0,D680,Von Willebrand's disease,Von Willebrand's disease
D68,1,D681,Hereditary factor XI deficiency,Hereditary factor XI deficiency
D68,2,D682,Hereditary deficiency of other clotting factors,Hereditary deficiency of other clotting factors
D6831,1,D68311,Acquired hemophilia,Acquired hemophilia
D6831,2,D68312,Antiphospholipid antibody with hemorrhagic disorder,Antiphospholipid antibody with hemorrhagic disorder
D6831,8,D68318,"Oth hemorrhagic disord d/t intrns circ anticoag,antib,inhib","Other hemorrhagic disorder due to intrinsic circulating anticoagulants, antibodies, or inhibitors"
D6832,,D6832,Hemorrhagic disord d/t extrinsic circulating anticoagulants,Hemorrhagic disorder due to extrinsic circulating anticoagulants
D684,,D684,Acquired coagulation factor deficiency,Acquired coagulation factor deficiency
D685,1,D6851,Activated protein C resistance,Activated protein C resistance
D685,2,D6852,Prothrombin gene mutation,Prothrombin gene mutation
D685,9,D6859,Other primary thrombophilia,Other primary thrombophilia
D686,1,D6861,Antiphospholipid syndrome,Antiphospholipid syndrome
D686,2,D6862,Lupus anticoagulant syndrome,Lupus anticoagulant syndrome
D686,9,D6869,Other thrombophilia,Other thrombophilia
D688,,D688,Other specified coagulation defects,Other specified coagulation defects
D689,,D689,"Coagulation defect, unspecified","Coagulation defect, unspecified"
D69,0,D690,Allergic purpura,Allergic purpura
D69,1,D691,Qualitative platelet defects,Qualitative platelet defects
D69,2,D692,Other nonthrombocytopenic purpura,Other nonthrombocytopenic purpura
D69,3,D693,Immune thrombocytopenic purpura,Immune thrombocytopenic purpura
D694,1,D6941,Evans syndrome,Evans syndrome
D694,2,D6942,Congenital and hereditary thrombocytopenia purpura,Congenital and hereditary thrombocytopenia purpura
D694,9,D6949,Other primary thrombocytopenia,Other primary thrombocytopenia
D695,1,D6951,Posttransfusion purpura,Posttransfusion purpura
D695,9,D6959,Other secondary thrombocytopenia,Other secondary thrombocytopenia
D696,,D696,"Thrombocytopenia, unspecified","Thrombocytopenia, unspecified"
D698,,D698,Other specified hemorrhagic conditions,Other specified hemorrhagic conditions
D699,,D699,"Hemorrhagic condition, unspecified","Hemorrhagic condition, unspecified"
D70,0,D700,Congenital agranulocytosis,Congenital agranulocytosis
D70,1,D701,Agranulocytosis secondary to cancer chemotherapy,Agranulocytosis secondary to cancer chemotherapy
D70,2,D702,Other drug-induced agranulocytosis,Other drug-induced agranulocytosis
D70,3,D703,Neutropenia due to infection,Neutropenia due to infection
D70,4,D704,Cyclic neutropenia,Cyclic neutropenia
D70,8,D708,Other neutropenia,Other neutropenia
D70,9,D709,"Neutropenia, unspecified","Neutropenia, unspecified"
D71,,D71,Functional disorders of polymorphonuclear neutrophils,Functional disorders of polymorphonuclear neutrophils
D72,0,D720,Genetic anomalies of leukocytes,Genetic anomalies of leukocytes
D72,1,D721,Eosinophilia,Eosinophilia
D7281,0,D72810,Lymphocytopenia,Lymphocytopenia
D7281,8,D72818,Other decreased white blood cell count,Other decreased white blood cell count
D7281,9,D72819,"Decreased white blood cell count, unspecified","Decreased white blood cell count, unspecified"
D7282,0,D72820,Lymphocytosis (symptomatic),Lymphocytosis (symptomatic)
D7282,1,D72821,Monocytosis (symptomatic),Monocytosis (symptomatic)
D7282,2,D72822,Plasmacytosis,Plasmacytosis
D7282,3,D72823,Leukemoid reaction,Leukemoid reaction
D7282,4,D72824,Basophilia,Basophilia
D7282,5,D72825,Bandemia,Bandemia
D7282,8,D72828,Other elevated white blood cell count,Other elevated white blood cell count
D7282,9,D72829,"Elevated white blood cell count, unspecified","Elevated white blood cell count, unspecified"
D7289,,D7289,Other specified disorders of white blood cells,Other specified disorders of white blood cells
D729,,D729,"Disorder of white blood cells, unspecified","Disorder of white blood cells, unspecified"
D73,0,D730,Hyposplenism,Hyposplenism
D73,1,D731,Hypersplenism,Hypersplenism
D73,2,D732,Chronic congestive splenomegaly,Chronic congestive splenomegaly
D73,3,D733,Abscess of spleen,Abscess of spleen
D73,4,D734,Cyst of spleen,Cyst of spleen
D73,5,D735,Infarction of spleen,Infarction of spleen
D738,1,D7381,Neutropenic splenomegaly,Neutropenic splenomegaly
D738,9,D7389,Other diseases of spleen,Other diseases of spleen
D739,,D739,"Disease of spleen, unspecified","Disease of spleen, unspecified"
D74,0,D740,Congenital methemoglobinemia,Congenital methemoglobinemia
D74,8,D748,Other methemoglobinemias,Other methemoglobinemias
D74,9,D749,"Methemoglobinemia, unspecified","Methemoglobinemia, unspecified"
D75,0,D750,Familial erythrocytosis,Familial erythrocytosis
D75,1,D751,Secondary polycythemia,Secondary polycythemia
D758,1,D7581,Myelofibrosis,Myelofibrosis
D758,2,D7582,Heparin induced thrombocytopenia (HIT),Heparin induced thrombocytopenia (HIT)
D758,9,D7589,Other specified diseases of blood and blood-forming organs,Other specified diseases of blood and blood-forming organs
D759,,D759,"Disease of blood and blood-forming organs, unspecified","Disease of blood and blood-forming organs, unspecified"
D76,1,D761,Hemophagocytic lymphohistiocytosis,Hemophagocytic lymphohistiocytosis
D76,2,D762,"Hemophagocytic syndrome, infection-associated","Hemophagocytic syndrome, infection-associated"
D76,3,D763,Other histiocytosis syndromes,Other histiocytosis syndromes
D77,,D77,Oth disord of bld/bld-frm organs in diseases classd elswhr,Other disorders of blood and blood-forming organs in diseases classified elsewhere
D780,1,D7801,Intraop hemor/hemtom of the spleen comp a proc on the spleen,Intraoperative hemorrhage and hematoma of the spleen complicating a procedure on the spleen
D780,2,D7802,Intraop hemor/hemtom of the spleen comp oth procedure,Intraoperative hemorrhage and hematoma of the spleen complicating other procedure
D781,1,D7811,Accidental pnctr & lac of the spleen dur proc on the spleen,Accidental puncture and laceration of the spleen during a procedure on the spleen
D781,2,D7812,Accidental pnctr & lac of the spleen during oth procedure,Accidental puncture and laceration of the spleen during other procedure
D782,1,D7821,Postprocedural hemorrhage of the spleen fol proc on spleen,Postprocedural hemorrhage of the spleen following a procedure on the spleen
D782,2,D7822,Postproc hemorrhage of the spleen following other procedure,Postprocedural hemorrhage of the spleen following other procedure
D783,1,D7831,Postprocedural hematoma of the spleen fol proc on spleen,Postprocedural hematoma of the spleen following a procedure on the spleen
D783,2,D7832,Postproc hematoma of the spleen following other procedure,Postprocedural hematoma of the spleen following other procedure
D783,3,D7833,Postprocedural seroma of the spleen fol proc on spleen,Postprocedural seroma of the spleen following a procedure on the spleen
D783,4,D7834,Postproc seroma of the spleen following other procedure,Postprocedural seroma of the spleen following other procedure
D788,1,D7881,Other intraoperative complications of the spleen,Other intraoperative complications of the spleen
D788,9,D7889,Other postprocedural complications of the spleen,Other postprocedural complications of the spleen
D80,0,D800,Hereditary hypogammaglobulinemia,Hereditary hypogammaglobulinemia
D80,1,D801,Nonfamilial hypogammaglobulinemia,Nonfamilial hypogammaglobulinemia
D80,2,D802,Selective deficiency of immunoglobulin A [IgA],Selective deficiency of immunoglobulin A [IgA]
D80,3,D803,Selective deficiency of immunoglobulin G [IgG] subclasses,Selective deficiency of immunoglobulin G [IgG] subclasses
D80,4,D804,Selective deficiency of immunoglobulin M [IgM],Selective deficiency of immunoglobulin M [IgM]
D80,5,D805,Immunodeficiency with increased immunoglobulin M [IgM],Immunodeficiency with increased immunoglobulin M [IgM]
D80,6,D806,Antibody defic w near-norm immunoglob or w hyperimmunoglob,Antibody deficiency with near-normal immunoglobulins or with hyperimmunoglobulinemia
D80,7,D807,Transient hypogammaglobulinemia of infancy,Transient hypogammaglobulinemia of infancy
D80,8,D808,Other immunodeficiencies with predominantly antibody defects,Other immunodeficiencies with predominantly antibody defects
D80,9,D809,"Immunodeficiency with predominantly antibody defects, unsp","Immunodeficiency with predominantly antibody defects, unspecified"
D81,0,D810,Severe combined immunodeficiency with reticular dysgenesis,Severe combined immunodeficiency [SCID] with reticular dysgenesis
D81,1,D811,Severe combined immunodeficiency w low T- and B-cell numbers,Severe combined immunodeficiency [SCID] with low T- and B-cell numbers
D81,2,D812,Severe combined immunodef w low or normal B-cell numbers,Severe combined immunodeficiency [SCID] with low or normal B-cell numbers
D81,3,D813,Adenosine deaminase [ADA] deficiency,Adenosine deaminase [ADA] deficiency
D81,4,D814,Nezelof's syndrome,Nezelof's syndrome
D81,5,D815,Purine nucleoside phosphorylase [PNP] deficiency,Purine nucleoside phosphorylase [PNP] deficiency
D81,6,D816,Major histocompatibility complex class I deficiency,Major histocompatibility complex class I deficiency
D81,7,D817,Major histocompatibility complex class II deficiency,Major histocompatibility complex class II deficiency
D8181,0,D81810,Biotinidase deficiency,Biotinidase deficiency
D8181,8,D81818,Other biotin-dependent carboxylase deficiency,Other biotin-dependent carboxylase deficiency
D8181,9,D81819,"Biotin-dependent carboxylase deficiency, unspecified","Biotin-dependent carboxylase deficiency, unspecified"
D8189,,D8189,Other combined immunodeficiencies,Other combined immunodeficiencies
D819,,D819,"Combined immunodeficiency, unspecified","Combined immunodeficiency, unspecified"
D82,0,D820,Wiskott-Aldrich syndrome,Wiskott-Aldrich syndrome
D82,1,D821,Di George's syndrome,Di George's syndrome
D82,2,D822,Immunodeficiency with short-limbed stature,Immunodeficiency with short-limbed stature
D82,3,D823,Immunodef fol heredit defctv response to Epstein-Barr virus,Immunodeficiency following hereditary defective response to Epstein-Barr virus
D82,4,D824,Hyperimmunoglobulin E [IgE] syndrome,Hyperimmunoglobulin E [IgE] syndrome
D82,8,D828,Immunodeficiency associated with oth major defects,Immunodeficiency associated with other specified major defects
D82,9,D829,"Immunodeficiency associated with major defect, unspecified","Immunodeficiency associated with major defect, unspecified"
D83,0,D830,Com variab immunodef w predom abnlt of B-cell nums & functn,Common variable immunodeficiency with predominant abnormalities of B-cell numbers and function
D83,1,D831,Com variab immunodef w predom immunoreg T-cell disorders,Common variable immunodeficiency with predominant immunoregulatory T-cell disorders
D83,2,D832,Common variable immunodef w autoantibodies to B- or T-cells,Common variable immunodeficiency with autoantibodies to B- or T-cells
D83,8,D838,Other common variable immunodeficiencies,Other common variable immunodeficiencies
D83,9,D839,"Common variable immunodeficiency, unspecified","Common variable immunodeficiency, unspecified"
D84,0,D840,Lymphocyte function antigen-1 [LFA-1] defect,Lymphocyte function antigen-1 [LFA-1] defect
D84,1,D841,Defects in the complement system,Defects in the complement system
D84,8,D848,Other specified immunodeficiencies,Other specified immunodeficiencies
D84,9,D849,"Immunodeficiency, unspecified","Immunodeficiency, unspecified"
D86,0,D860,Sarcoidosis of lung,Sarcoidosis of lung
D86,1,D861,Sarcoidosis of lymph nodes,Sarcoidosis of lymph nodes
D86,2,D862,Sarcoidosis of lung with sarcoidosis of lymph nodes,Sarcoidosis of lung with sarcoidosis of lymph nodes
D86,3,D863,Sarcoidosis of skin,Sarcoidosis of skin
D868,1,D8681,Sarcoid meningitis,Sarcoid meningitis
D868,2,D8682,Multiple cranial nerve palsies in sarcoidosis,Multiple cranial nerve palsies in sarcoidosis
D868,3,D8683,Sarcoid iridocyclitis,Sarcoid iridocyclitis
D868,4,D8684,Sarcoid pyelonephritis,Sarcoid pyelonephritis
D868,5,D8685,Sarcoid myocarditis,Sarcoid myocarditis
D868,6,D8686,Sarcoid arthropathy,Sarcoid arthropathy
D868,7,D8687,Sarcoid myositis,Sarcoid myositis
D868,9,D8689,Sarcoidosis of other sites,Sarcoidosis of other sites
D869,,D869,"Sarcoidosis, unspecified","Sarcoidosis, unspecified"
D89,0,D890,Polyclonal hypergammaglobulinemia,Polyclonal hypergammaglobulinemia
D89,1,D891,Cryoglobulinemia,Cryoglobulinemia
D89,2,D892,"Hypergammaglobulinemia, unspecified","Hypergammaglobulinemia, unspecified"
D89,3,D893,Immune reconstitution syndrome,Immune reconstitution syndrome
D894,0,D8940,"Mast cell activation, unspecified","Mast cell activation, unspecified"
D894,1,D8941,Monoclonal mast cell activation syndrome,Monoclonal mast cell activation syndrome
D894,2,D8942,Idiopathic mast cell activation syndrome,Idiopathic mast cell activation syndrome
D894,3,D8943,Secondary mast cell activation,Secondary mast cell activation
D894,9,D8949,Other mast cell activation disorder,Other mast cell activation disorder
D8981,0,D89810,Acute graft-versus-host disease,Acute graft-versus-host disease
D8981,1,D89811,Chronic graft-versus-host disease,Chronic graft-versus-host disease
D8981,2,D89812,Acute on chronic graft-versus-host disease,Acute on chronic graft-versus-host disease
D8981,3,D89813,"Graft-versus-host disease, unspecified","Graft-versus-host disease, unspecified"
D8982,,D8982,Autoimmune lymphoproliferative syndrome [ALPS],Autoimmune lymphoproliferative syndrome [ALPS]
D8989,,D8989,"Oth disrd involving the immune mechanism, NEC","Other specified disorders involving the immune mechanism, not elsewhere classified"
D899,,D899,"Disorder involving the immune mechanism, unspecified","Disorder involving the immune mechanism, unspecified"
E00,0,E000,"Congenital iodine-deficiency syndrome, neurological type","Congenital iodine-deficiency syndrome, neurological type"
E00,1,E001,"Congenital iodine-deficiency syndrome, myxedematous type","Congenital iodine-deficiency syndrome, myxedematous type"
E00,2,E002,"Congenital iodine-deficiency syndrome, mixed type","Congenital iodine-deficiency syndrome, mixed type"
E00,9,E009,"Congenital iodine-deficiency syndrome, unspecified","Congenital iodine-deficiency syndrome, unspecified"
E01,0,E010,Iodine-deficiency related diffuse (endemic) goiter,Iodine-deficiency related diffuse (endemic) goiter
E01,1,E011,Iodine-deficiency related multinodular (endemic) goiter,Iodine-deficiency related multinodular (endemic) goiter
E01,2,E012,"Iodine-deficiency related (endemic) goiter, unspecified","Iodine-deficiency related (endemic) goiter, unspecified"
E01,8,E018,Oth iodine-deficiency related thyroid disord and allied cond,Other iodine-deficiency related thyroid disorders and allied conditions
E02,,E02,Subclinical iodine-deficiency hypothyroidism,Subclinical iodine-deficiency hypothyroidism
E03,0,E030,Congenital hypothyroidism with diffuse goiter,Congenital hypothyroidism with diffuse goiter
E03,1,E031,Congenital hypothyroidism without goiter,Congenital hypothyroidism without goiter
E03,2,E032,Hypothyroidism due to meds and oth exogenous substances,Hypothyroidism due to medicaments and other exogenous substances
E03,3,E033,Postinfectious hypothyroidism,Postinfectious hypothyroidism
E03,4,E034,Atrophy of thyroid (acquired),Atrophy of thyroid (acquired)
E03,5,E035,Myxedema coma,Myxedema coma
E03,8,E038,Other specified hypothyroidism,Other specified hypothyroidism
E03,9,E039,"Hypothyroidism, unspecified","Hypothyroidism, unspecified"
E04,0,E040,Nontoxic diffuse goiter,Nontoxic diffuse goiter
E04,1,E041,Nontoxic single thyroid nodule,Nontoxic single thyroid nodule
E04,2,E042,Nontoxic multinodular goiter,Nontoxic multinodular goiter
E04,8,E048,Other specified nontoxic goiter,Other specified nontoxic goiter
E04,9,E049,"Nontoxic goiter, unspecified","Nontoxic goiter, unspecified"
E050,0,E0500,Thyrotoxicosis w diffuse goiter w/o thyrotoxic crisis,Thyrotoxicosis with diffuse goiter without thyrotoxic crisis or storm
E050,1,E0501,Thyrotoxicosis w diffuse goiter w thyrotoxic crisis or storm,Thyrotoxicosis with diffuse goiter with thyrotoxic crisis or storm
E051,0,E0510,Thyrotxcosis w toxic sing thyroid nodule w/o thyrotxc crisis,Thyrotoxicosis with toxic single thyroid nodule without thyrotoxic crisis or storm
E051,1,E0511,Thyrotxcosis w toxic single thyroid nodule w thyrotxc crisis,Thyrotoxicosis with toxic single thyroid nodule with thyrotoxic crisis or storm
E052,0,E0520,Thyrotxcosis w toxic multinod goiter w/o thyrotoxic crisis,Thyrotoxicosis with toxic multinodular goiter without thyrotoxic crisis or storm
E052,1,E0521,Thyrotxcosis w toxic multinodular goiter w thyrotoxic crisis,Thyrotoxicosis with toxic multinodular goiter with thyrotoxic crisis or storm
E053,0,E0530,Thyrotxcosis from ectopic thyroid tissue w/o thyrotxc crisis,Thyrotoxicosis from ectopic thyroid tissue without thyrotoxic crisis or storm
E053,1,E0531,Thyrotxcosis from ectopic thyroid tissue w thyrotoxic crisis,Thyrotoxicosis from ectopic thyroid tissue with thyrotoxic crisis or storm
E054,0,E0540,Thyrotoxicosis factitia without thyrotoxic crisis or storm,Thyrotoxicosis factitia without thyrotoxic crisis or storm
E054,1,E0541,Thyrotoxicosis factitia with thyrotoxic crisis or storm,Thyrotoxicosis factitia with thyrotoxic crisis or storm
E058,0,E0580,Other thyrotoxicosis without thyrotoxic crisis or storm,Other thyrotoxicosis without thyrotoxic crisis or storm
E058,1,E0581,Other thyrotoxicosis with thyrotoxic crisis or storm,Other thyrotoxicosis with thyrotoxic crisis or storm
E059,0,E0590,"Thyrotoxicosis, unsp without thyrotoxic crisis or storm","Thyrotoxicosis, unspecified without thyrotoxic crisis or storm"
E059,1,E0591,"Thyrotoxicosis, unspecified with thyrotoxic crisis or storm","Thyrotoxicosis, unspecified with thyrotoxic crisis or storm"
E06,0,E060,Acute thyroiditis,Acute thyroiditis
E06,1,E061,Subacute thyroiditis,Subacute thyroiditis
E06,2,E062,Chronic thyroiditis with transient thyrotoxicosis,Chronic thyroiditis with transient thyrotoxicosis
E06,3,E063,Autoimmune thyroiditis,Autoimmune thyroiditis
E06,4,E064,Drug-induced thyroiditis,Drug-induced thyroiditis
E06,5,E065,Other chronic thyroiditis,Other chronic thyroiditis
E06,9,E069,"Thyroiditis, unspecified","Thyroiditis, unspecified"
E07,0,E070,Hypersecretion of calcitonin,Hypersecretion of calcitonin
E07,1,E071,Dyshormogenetic goiter,Dyshormogenetic goiter
E078,1,E0781,Sick-euthyroid syndrome,Sick-euthyroid syndrome
E078,9,E0789,Other specified disorders of thyroid,Other specified disorders of thyroid
E079,,E079,"Disorder of thyroid, unspecified","Disorder of thyroid, unspecified"
E080,0,E0800,Diab d/t undrl cond w hyprosm w/o nonket hyprgly-hypros coma,Diabetes mellitus due to underlying condition with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC)
E080,1,E0801,Diabetes due to underlying condition w hyprosm w coma,Diabetes mellitus due to underlying condition with hyperosmolarity with coma
E081,0,E0810,Diabetes due to underlying condition w ketoacidosis w/o coma,Diabetes mellitus due to underlying condition with ketoacidosis without coma
E081,1,E0811,Diabetes due to underlying condition w ketoacidosis w coma,Diabetes mellitus due to underlying condition with ketoacidosis with coma
E082,1,E0821,Diabetes due to underlying condition w diabetic nephropathy,Diabetes mellitus due to underlying condition with diabetic nephropathy
E082,2,E0822,Diabetes due to undrl cond w diabetic chronic kidney disease,Diabetes mellitus due to underlying condition with diabetic chronic kidney disease
E082,9,E0829,Diabetes due to undrl condition w oth diabetic kidney comp,Diabetes mellitus due to underlying condition with other diabetic kidney complication
E0831,1,E08311,Diab due to undrl cond w unsp diabetic rtnop w macular edema,Diabetes mellitus due to underlying condition with unspecified diabetic retinopathy with macular edema
E0831,9,E08319,Diab due to undrl cond w unsp diab rtnop w/o macular edema,Diabetes mellitus due to underlying condition with unspecified diabetic retinopathy without macular edema
E08321,1,E083211,"Diabetes with mild nonp rtnop with macular edema, right eye","Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema, right eye"
E08321,2,E083212,"Diabetes with mild nonp rtnop with macular edema, left eye","Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema, left eye"
E08321,3,E083213,"Diabetes with mild nonp rtnop with macular edema, bilateral","Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema, bilateral"
E08321,9,E083219,"Diabetes with mild nonp rtnop with macular edema, unsp","Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye"
E08329,1,E083291,"Diabetes with mild nonp rtnop without macular edema, r eye","Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy without macular edema, right eye"
E08329,2,E083292,"Diab with mild nonp rtnop without macular edema, left eye","Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy without macular edema, left eye"
E08329,3,E083293,"Diabetes with mild nonp rtnop without macular edema, bi","Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy without macular edema, bilateral"
E08329,9,E083299,"Diabetes with mild nonp rtnop without macular edema, unsp","Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy without macular edema, unspecified eye"
E08331,1,E083311,"Diabetes with moderate nonp rtnop with macular edema, r eye","Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy with macular edema, right eye"
E08331,2,E083312,"Diab with moderate nonp rtnop with macular edema, left eye","Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy with macular edema, left eye"
E08331,3,E083313,"Diabetes with moderate nonp rtnop with macular edema, bi","Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy with macular edema, bilateral"
E08331,9,E083319,"Diabetes with moderate nonp rtnop with macular edema, unsp","Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy with macular edema, unspecified eye"
E08339,1,E083391,"Diab with moderate nonp rtnop without macular edema, r eye","Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without macular edema, right eye"
E08339,2,E083392,"Diab with moderate nonp rtnop without macular edema, l eye","Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without macular edema, left eye"
E08339,3,E083393,"Diabetes with moderate nonp rtnop without macular edema, bi","Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without macular edema, bilateral"
E08339,9,E083399,"Diab with moderate nonp rtnop without macular edema, unsp","Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without macular edema, unspecified eye"
E08341,1,E083411,"Diabetes with severe nonp rtnop with macular edema, r eye","Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema, right eye"
E08341,2,E083412,"Diabetes with severe nonp rtnop with macular edema, left eye","Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema, left eye"
E08341,3,E083413,"Diabetes with severe nonp rtnop with macular edema, bi","Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema, bilateral"
E08341,9,E083419,"Diabetes with severe nonp rtnop with macular edema, unsp","Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema, unspecified eye"
E08349,1,E083491,"Diabetes with severe nonp rtnop without macular edema, r eye","Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema, right eye"
E08349,2,E083492,"Diab with severe nonp rtnop without macular edema, left eye","Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema, left eye"
E08349,3,E083493,"Diabetes with severe nonp rtnop without macular edema, bi","Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema, bilateral"
E08349,9,E083499,"Diabetes with severe nonp rtnop without macular edema, unsp","Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema, unspecified eye"
E08351,1,E083511,"Diab with prolif diabetic rtnop with macular edema, r eye","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema, right eye"
E08351,2,E083512,"Diab with prolif diabetic rtnop with macular edema, left eye","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema, left eye"
E08351,3,E083513,"Diabetes with prolif diabetic rtnop with macular edema, bi","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema, bilateral"
E08351,9,E083519,"Diabetes with prolif diabetic rtnop with macular edema, unsp","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema, unspecified eye"
E08352,1,E083521,"Diab with prolif diab rtnop with trctn dtch macula, r eye","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, right eye"
E08352,2,E083522,"Diab with prolif diab rtnop with trctn dtch macula, left eye","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye"
E08352,3,E083523,"Diab with prolif diabetic rtnop with trctn dtch macula, bi","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, bilateral"
E08352,9,E083529,"Diab with prolif diabetic rtnop with trctn dtch macula, unsp","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, unspecified eye"
E08353,1,E083531,"Diab with prolif diab rtnop with trctn dtch n-mcla, r eye","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye"
E08353,2,E083532,"Diab with prolif diab rtnop with trctn dtch n-mcla, left eye","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye"
E08353,3,E083533,"Diab with prolif diabetic rtnop with trctn dtch n-mcla, bi","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral"
E08353,9,E083539,"Diab with prolif diabetic rtnop with trctn dtch n-mcla, unsp","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, unspecified eye"
E08354,1,E083541,"Diabetes with prolif diabetic rtnop with comb detach, r eye","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, right eye"
E08354,2,E083542,"Diab with prolif diabetic rtnop with comb detach, left eye","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye"
E08354,3,E083543,"Diabetes with prolif diabetic rtnop with combined detach, bi","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, bilateral"
E08354,9,E083549,"Diabetes with prolif diabetic rtnop with comb detach, unsp","Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, unspecified eye"
E08355,1,E083551,"Diabetes with stable prolif diabetic retinopathy, right eye","Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, right eye"
E08355,2,E083552,"Diabetes with stable prolif diabetic retinopathy, left eye","Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, left eye"
E08355,3,E083553,"Diabetes with stable prolif diabetic retinopathy, bilateral","Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, bilateral"
